paper_id,date,year,phase_1931plus,explicit_she_title,women_implicit,education_topic,editorial,female_creator,headline_len,sentiment_score,sentiment_label,cluster_id
民国大新闻报,1917-07-18,1917,0,0,0,0,0,0,8,0.9805199922447922,positive,
民国大新闻报,1917-07-18,1917,0,0,0,0,0,0,6,0.26340111755645734,negative,
民国大新闻报,1917-07-19,1917,0,0,0,0,0,0,7,0.4382955882779894,negative,
民国大新闻报,1917-07-20,1917,0,0,0,0,0,0,8,0.7827969253176942,positive,
民国大新闻报,1917-07-21,1917,0,0,0,0,0,0,9,0.6076849573050405,positive,
民国大新闻报,1917-07-21,1917,0,0,0,0,0,0,2,0.5,neutral,
民国大新闻报,1917-07-23,1917,0,0,0,0,0,0,6,0.5975709224666292,positive,
上海经济时报,1917-10-11,1917,0,0,0,0,0,0,4,0.4737672181921908,neutral,
上海经济时报,1917-11-11,1917,0,0,0,0,0,0,4,0.17580145412381876,negative,
上海经济时报,1917-12-01,1917,0,0,0,0,0,0,16,0.2728438382129267,negative,
上海经济时报,1918-02-11,1918,0,0,0,0,0,0,4,0.4737672181921908,neutral,
吉长日报,1918-05-19,1918,0,0,0,0,0,0,13,0.27909561702815544,negative,
吉长日报,1918-06-08,1918,0,0,0,0,0,0,6,0.8587380414712876,positive,
吉长日报,1918-06-20,1918,0,0,0,0,0,0,41,0.8024533129673815,positive,
吉长日报,1918-06-22,1918,0,0,0,0,0,0,13,0.06864477434711391,negative,
吉长日报,1918-06-27,1918,0,0,0,0,0,0,7,0.6953524459643177,positive,
吉长日报,1918-07-06,1918,0,0,0,0,0,0,6,0.548780079190597,neutral,
吉长日报,1918-08-07,1918,0,0,0,0,0,0,7,0.31143823060334963,negative,
吉长日报,1918-08-18,1918,0,0,0,0,0,0,4,0.23082833962758653,negative,
越州公报,1918-09-08,1918,0,0,0,0,0,0,7,0.06390139226992686,negative,
吉长日报,1918-09-22,1918,0,0,0,0,0,0,6,0.4737672181921908,neutral,
越州公报,1918-09-26,1918,0,0,0,0,0,0,13,0.9214287270389784,positive,
越州公报,1918-10-02,1918,0,0,0,0,0,0,9,0.9849370988035534,positive,
吉长日报,1918-10-09,1918,0,0,0,0,0,0,11,0.8258821156463955,positive,
吉长日报,1918-10-17,1918,0,0,0,0,0,0,12,0.8318349974207306,positive,
吉长日报,1918-10-26,1918,0,0,0,0,0,0,11,0.11128583616265664,negative,
吉长日报,1918-10-27,1918,0,0,0,0,0,0,4,0.7959724438686024,positive,
吉长日报,1918-10-30,1918,0,0,0,0,0,0,10,0.869888671048975,positive,
